GeneName,HN5
HSPA6,245
HSPA1A,239
HSPA1B,231
DNAJB1,210
BAG3,181
PNLDC1,175
CRYAB,173
HSPH1,167
FOS,165
ZFAND2A,165
RRAD,155
LTA,154
HSPA1L,150
DNAJB4,149
DEDD2,143
DCAF4L1,141
PGF,141
IER5,140
HBA2,139
FKBP4,129
MIA,127
TENT5A,127
ACTRT3,126
RGS2,122
VHLL,121
TEX43,119
SERPINH1,119
FOSB,118
RFPL2,117
FBLL1,116
LSMEM1,113
CCDC121,113
HSPB1,112
NHLH1,111
CCDC81,109
TULP2,108
DNAJA4,106
EGR2,104
ALOXE3,100
HSPB8,100
C2orf66,100
TMEM95,99
LCN10,98
PCSK5,98
ADCY10,97
HSPA4L,96
SESN3,95
CCL26,95
CASS4,91
HSPE1-MOB4,90
USPL1,89
LY6G6C,89
ATF3,88
EGR1,87
DUSP1,87
MAFB,86
FOXJ1,83
ENGASE,83
COX8C,83
DEFB115,83
DHDH,82
TICAM2,81
CSF3,81
CLU,81
CHRNA2,80
MIA-RAB4B,80
C11orf94,79
THEGL,79
CHORDC1,79
DUX4,78
CCNP,78
HSPB9,76
SUMO4,76
FAM177B,75
B3GALT4,75
CACNA1G,74
RASD1,74
KLHL25,74
HSPB2,73
FZD8,73
IGLV1-50,72
SERPINC1,72
C11orf96,72
CFAP53,72
TMPRSS9,72
H1-6,72
GAL3ST1,72
ARC,71
CDRT1,71
IFI35,71
LGALS4,70
DEPP1,70
CFP,70
CD14,70
TMEM31,70
EGR3,69
MAFA,69
HBA1,69
C7orf61,69
GEM,69
NR4A3,68
SERINC4,68
TNF,68
HSP90AA1,68
DNAJA1,67
JMJD6,67
RSPH10B2,67
ESR1,67
XIRP1,67
COL26A1,67
LAG3,67
SEMA4A,67
EFCAB12,66
OOEP,66
CLDN9,66
UCP3,65
LENEP,65
CLDN6,65
SULT6B1,64
PNCK,64
IGHG4,64
FOXD4L3,64
CLK1,63
C17orf67,63
BMP4,63
JUN,63
TRIML2,63
LRIT3,63
MRPL18,63
OR2B6,62
MAP7D2,62
IL31,62
KCNE5,62
PLA2G12B,62
CCL20,62
GAS1,62
NCR3,62
SLC6A13,61
MGARP,61
C4orf47,61
CLEC18B,61
FRG2B,59
SPDYA,59
WDR49,59
HIBCH,59
SLC5A3,58
FBXL14,58
N4BP2L1,58
RASL11A,58
DYNLT2,58
RSPH10B,58
NOXRED1,58
PLPPR5,57
GPA33,57
ADORA2A,57
PPP1R15A,57
TRAF3IP3,57
GZMM,57
ALDH8A1,57
NKRF,57
NPIPB9,57
CEP295NL,57
TBR1,57
PROCA1,56
FAM209A,56
NXT2,56
POU2F2,56
CYP39A1,56
FOXD4L6,56
GCGR,56
KCTD14,55
HSPD1,55
TSSK4,55
PLAC8L1,55
UBB,55
UPK1A,54
GAGE10,54
CACFD1,54
EID3,54
GAST,53
FERMT3,53
PRSS55,53
PPP1R3C,53
SELPLG,53
CFAP97D2,53
ERICH5,52
NPC1L1,52
C9orf152,52
CACYBP,52
TMC4,52
TSPYL2,51
PRR18,51
HEY1,51
TMEM216,51
FAM83C,51
FBXW10,51
SPOCK2,51
